Timestamp,Tempo (ms),Tensão Bateria (V),Corrente Bateria (A),Tensão Resistor (V),Corrente Resistor (A),Potência Bateria (W),Potência Resistor (W),Capacidade Usada (mAh),Energia Total (mWh)
2025-06-18 15:04:12.121,12000.0,5.765,19.247,1.922,0.192,110.968,0.369,210977.53,1220092.75
2025-06-18 15:04:13.342,13000.0,5.733,19.159,1.912,0.191,109.843,0.366,230136.85,1329935.87
2025-06-18 15:04:14.424,14000.0,5.748,19.238,1.917,0.192,110.574,0.367,249374.39,1440509.37
2025-06-18 15:04:15.173,15000.0,5.736,19.189,1.914,0.191,110.068,0.366,268563.06,1550576.87
2025-06-18 15:04:16.582,16000.0,5.748,19.238,1.918,0.192,110.574,0.368,287800.59,1661150.37
2025-06-18 15:04:17.090,17000.0,5.718,19.12,1.908,0.191,109.339,0.364,306920.84,1770489.0
2025-06-18 15:04:18.144,18000.0,5.695,19.032,1.898,0.19,108.389,0.36,325953.09,1878878.0
2025-06-18 15:04:19.076,19000.0,5.434,17.898,1.787,0.179,97.26,0.319,343851.43,1976137.87
2025-06-18 15:04:20.130,20000.0,5.443,17.947,1.804,0.18,97.683,0.326,361798.65,2073821.25
2025-06-18 15:04:21.086,21000.0,6.299,20.547,2.095,0.209,129.431,0.439,382346.06,2203251.75
2025-06-18 15:04:22.120,22000.0,6.724,21.691,2.232,0.223,145.858,0.498,404037.15,2349110.0
2025-06-18 15:04:23.094,23000.0,7.073,22.766,2.344,0.234,161.034,0.549,426803.53,2510143.75
2025-06-18 15:04:24.272,24000.0,7.563,24.614,2.532,0.253,186.156,0.641,451417.4,2696299.75
2025-06-18 15:04:25.123,25000.0,7.73,25.132,2.575,0.257,194.275,0.663,476549.37,2890575.0
2025-06-18 15:04:26.449,26000.0,6.962,22.776,2.316,0.232,158.565,0.536,499325.53,3049139.75
2025-06-18 15:04:27.104,27000.0,6.613,21.867,2.207,0.221,144.605,0.487,521192.59,3193744.5
2025-06-18 15:04:28.637,28000.0,6.314,20.948,2.115,0.212,132.262,0.447,542140.81,3326006.75
2025-06-18 15:04:29.714,29000.0,6.106,20.293,2.05,0.205,123.902,0.42,562434.06,3449908.75
2025-06-18 15:04:30.224,30000.0,5.935,19.736,1.994,0.199,117.143,0.398,582170.12,3567051.75
2025-06-18 15:04:31.935,31000.0,5.85,19.511,1.969,0.197,114.149,0.388,601681.37,3681201.0
2025-06-18 15:04:32.973,32000.0,5.806,19.413,1.956,0.196,112.723,0.383,621094.87,3793924.5
2025-06-18 15:04:34.095,33000.0,5.83,19.55,1.965,0.196,113.977,0.386,640645.18,3907901.25
2025-06-18 15:04:35.325,34000.0,5.871,19.726,1.978,0.198,115.812,0.391,660371.5,4023713.75
2025-06-18 15:04:36.433,35000.0,5.938,19.99,1.998,0.2,118.71,0.399,680361.75,4142424.0
2025-06-18 15:04:37.542,36000.0,5.988,20.166,2.011,0.201,120.761,0.404,700527.93,4263184.5
2025-06-18 15:04:38.686,37000.0,6.026,20.303,2.02,0.202,122.354,0.408,720830.93,4385538.5
2025-06-18 15:04:39.854,38000.0,6.003,20.186,2.008,0.201,121.174,0.403,741016.68,4506712.0
2025-06-18 15:04:41.085,39000.0,5.953,19.99,1.989,0.199,119.003,0.396,761006.93,4625715.5
2025-06-18 15:04:42.270,40000.0,5.862,19.648,1.958,0.196,115.18,0.383,780655.0,4740896.0
2025-06-18 15:04:42.387,41000.0,5.745,19.218,1.92,0.192,110.405,0.369,799873.0,4851301.0
2025-06-18 15:04:43.668,42000.0,5.636,18.817,1.885,0.188,106.061,0.355,818690.18,4957361.5
2025-06-18 15:04:44.995,43000.0,5.543,18.485,1.855,0.186,102.453,0.344,837175.06,5059814.0
2025-06-18 15:04:46.391,44000.0,5.457,18.162,1.827,0.183,99.12,0.334,855337.31,5158934.0
2025-06-18 15:04:47.743,45000.0,5.405,17.977,1.811,0.181,97.158,0.328,873313.87,5256091.5
2025-06-18 15:04:49.074,46000.0,5.384,17.898,1.805,0.181,96.368,0.326,891212.18,5352459.0
2025-06-18 15:04:50.465,47000.0,5.367,17.83,1.801,0.18,95.685,0.324,909042.12,5448144.5
2025-06-18 15:04:51.954,48000.0,5.367,17.83,1.802,0.18,95.685,0.325,926872.06,5543830.0
2025-06-18 15:04:53.356,49000.0,5.37,17.869,1.806,0.181,95.948,0.326,944741.06,5639777.5
2025-06-18 15:04:54.940,50000.0,5.419,18.065,1.823,0.182,97.898,0.332,962805.56,5737675.5
2025-06-18 15:04:56.600,51000.0,5.466,18.24,1.84,0.184,99.707,0.338,981046.0,5837383.0
2025-06-18 15:04:58.199,52000.0,5.551,18.573,1.869,0.187,103.104,0.349,999618.81,5940486.5
2025-06-18 15:04:59.783,53000.0,5.636,18.905,1.899,0.19,106.556,0.361,1018524.0,6047043.0
2025-06-18 15:05:01.371,54000.0,5.748,19.316,1.935,0.193,111.023,0.374,1037839.75,6158066.0
2025-06-18 15:05:03.110,55000.0,5.821,19.589,1.96,0.196,114.032,0.384,1057429.25,6272098.5
2025-06-18 15:05:04.794,56000.0,5.903,19.902,1.985,0.199,117.487,0.394,1077331.5,6389586.0
2025-06-18 15:05:06.520,57000.0,5.93,19.98,1.991,0.199,118.476,0.396,1097312.0,6508062.5
2025-06-18 15:05:08.230,58000.0,5.947,20.029,1.993,0.199,119.119,0.397,1117341.37,6627181.0
2025-06-18 15:05:10.086,59000.0,5.906,19.863,1.978,0.198,117.315,0.391,1137204.5,6744496.0
2025-06-18 15:05:11.896,60000.0,5.856,19.658,1.958,0.196,115.122,0.383,1156862.37,6859618.5
2025-06-18 15:05:13.701,61000.0,5.771,19.326,1.929,0.193,111.533,0.372,1176187.87,6971151.0
2025-06-18 15:05:15.731,62000.0,5.695,19.042,1.902,0.19,108.445,0.362,1195229.87,7079595.5
2025-06-18 15:05:17.758,63000.0,5.604,18.71,1.873,0.187,104.851,0.351,1213939.5,7184446.5
2025-06-18 15:05:19.717,64000.0,5.54,18.475,1.852,0.185,102.344,0.343,1232414.62,7286791.0
2025-06-18 15:05:21.668,65000.0,5.469,18.221,1.83,0.183,99.654,0.335,1250635.5,7386445.0
2025-06-18 15:05:23.733,66000.0,5.428,18.074,1.818,0.182,98.11,0.331,1268709.75,7484555.0
2025-06-18 15:05:25.843,67000.0,5.393,17.957,1.81,0.181,96.841,0.328,1286666.75,7581396.5
2025-06-18 15:05:27.890,68000.0,5.396,17.967,1.813,0.181,96.947,0.329,1304633.5,7678343.5
2025-06-18 15:05:30.102,69000.0,5.411,18.035,1.821,0.182,97.58,0.332,1322668.75,7775924.0
2025-06-18 15:05:32.277,70000.0,5.478,18.309,1.846,0.185,100.296,0.341,1340977.62,7876220.0
2025-06-18 15:05:34.468,71000.0,5.569,18.661,1.877,0.188,103.92,0.352,1359638.37,7980140.5
2025-06-18 15:05:36.858,72000.0,5.704,19.159,1.92,0.192,109.281,0.369,1378797.75,8089421.5
2025-06-18 15:05:39.118,73000.0,5.804,19.511,1.95,0.195,113.234,0.38,1398309.0,8202655.5
2025-06-18 15:05:41.437,74000.0,5.886,19.785,1.972,0.197,116.447,0.389,1418094.0,8319102.5
2025-06-18 15:05:43.733,75000.0,5.859,19.638,1.959,0.196,115.066,0.384,1437732.37,8434168.0
2025-06-18 15:05:46.154,76000.0,5.78,19.326,1.931,0.193,111.703,0.373,1457057.87,8545871.0
2025-06-18 15:05:48.571,77000.0,5.636,18.778,1.883,0.188,105.84,0.354,1475836.0,8651711.0
2025-06-18 15:05:51.083,78000.0,5.507,18.319,1.843,0.184,100.887,0.34,1494154.62,8752598.0
2025-06-18 15:05:53.673,79000.0,5.399,17.928,1.81,0.181,96.788,0.328,1512082.25,8849386.0
2025-06-18 15:05:56.278,80000.0,5.367,17.849,1.804,0.18,95.79,0.326,1529931.75,8945176.0
2025-06-18 15:05:58.855,81000.0,5.408,18.025,1.82,0.182,97.475,0.331,1547957.12,9042651.0
2025-06-18 15:06:01.782,82000.0,5.534,18.524,1.864,0.186,102.506,0.347,1566481.12,9145157.0
2025-06-18 15:06:04.666,83000.0,5.683,19.091,1.914,0.191,108.499,0.366,1585572.0,9253656.0
2025-06-18 15:06:07.294,84000.0,5.842,19.677,1.966,0.197,114.948,0.386,1605249.37,9368604.0
2025-06-18 15:06:09.990,85000.0,5.988,20.205,2.011,0.201,120.995,0.404,1625454.62,9489599.0
2025-06-18 15:06:12.860,86000.0,6.056,20.42,2.029,0.203,123.66,0.412,1645875.0,9613259.0
2025-06-18 15:06:15.629,87000.0,6.041,20.342,2.021,0.202,122.888,0.408,1666217.12,9736147.0
2025-06-18 15:06:18.465,88000.0,5.962,20.029,1.991,0.199,119.412,0.396,1686246.5,9855559.0
2025-06-18 15:06:21.361,89000.0,5.824,19.521,1.946,0.195,113.691,0.379,1705767.5,9969250.0
2025-06-18 15:06:24.224,90000.0,5.683,18.993,1.899,0.19,107.944,0.361,1724760.62,10077194.0
2025-06-18 15:06:27.170,91000.0,5.56,18.543,1.86,0.186,103.104,0.346,1743304.12,10180298.0
2025-06-18 15:06:30.166,92000.0,5.452,18.143,1.827,0.183,98.907,0.334,1761446.87,10279205.0
2025-06-18 15:06:33.247,93000.0,5.387,17.918,1.808,0.181,96.525,0.327,1779364.75,10375730.0
2025-06-18 15:06:36.607,94000.0,5.367,17.84,1.802,0.18,95.738,0.325,1797204.5,10471468.0
2025-06-18 15:06:39.917,95000.0,5.37,17.869,1.806,0.181,95.948,0.326,1815073.5,10567416.0
2025-06-18 15:06:43.131,96000.0,5.402,18.016,1.821,0.182,97.316,0.332,1833089.12,10664732.0
2025-06-18 15:06:46.450,97000.0,5.481,18.338,1.851,0.185,100.511,0.343,1851427.37,10765243.0
2025-06-18 15:06:49.659,98000.0,5.619,18.866,1.898,0.19,106.004,0.36,1870293.5,10871247.0
2025-06-18 15:06:53.023,99000.0,5.765,19.433,1.948,0.195,112.039,0.38,1889726.5,10983286.0
2025-06-18 15:06:56.494,100000.0,5.906,19.951,1.992,0.199,117.834,0.397,1909677.62,11101120.0
2025-06-18 15:07:00.736,101000.0,6.026,20.381,2.027,0.203,122.825,0.411,1930058.87,11223945.0
2025-06-18 15:07:05.303,102000.0,6.056,20.44,2.03,0.203,123.778,0.412,1950498.75,11347723.0
2025-06-18 15:07:09.864,103000.0,6.006,20.225,2.01,0.201,121.468,0.404,1970723.62,11469191.0
2025-06-18 15:07:14.146,104000.0,5.889,19.756,1.969,0.197,116.332,0.388,1990479.25,11585523.0
2025-06-18 15:07:18.378,105000.0,5.739,19.189,1.918,0.192,110.124,0.368,2009667.87,11695647.0
2025-06-18 15:07:22.353,106000.0,5.589,18.631,1.869,0.187,104.14,0.349,2028299.37,11799787.0
2025-06-18 15:07:25.995,107000.0,5.484,18.26,1.837,0.184,100.136,0.337,2046559.37,11899923.0
2025-06-18 15:07:30.591,108000.0,5.399,17.947,1.81,0.181,96.894,0.328,2064506.62,11996817.0
2025-06-18 15:07:34.491,109000.0,5.378,17.898,1.806,0.181,96.263,0.326,2082405.0,12093080.0
2025-06-18 15:07:38.329,110000.0,5.396,17.977,1.815,0.182,97.0,0.33,2100381.5,12190080.0
2025-06-18 15:07:42.212,111000.0,5.46,18.24,1.841,0.184,99.6,0.339,2118622.0,12289680.0
